feature,value
ILMN_1708922,8.46378396585915e-05
ILMN_2268241,5.239335027777432e-05
ILMN_1741628,7.560135726424307e-05
ILMN_1657870,6.518421586222994e-05
ILMN_2240003,7.241105240178014e-05
ILMN_1785424,7.960469421046114e-05
ILMN_1731610,0.0001196276990291
ILMN_1696682,0.0035196308189888
ILMN_2396672,6.070844638705393e-05
ILMN_1758825,6.900749484560479e-05
ILMN_1656940,0.0001292029703426
ILMN_1656979,8.282937601151603e-05
ILMN_1731433,9.32284914824446e-05
ILMN_1672878,7.588356292945672e-05
ILMN_1655114,5.591582169911825e-05
ILMN_1657045,8.118545141254477e-05
ILMN_1766991,9.474888247560848e-05
ILMN_1658083,0.0001479982224781
ILMN_1802096,9.52130283813572e-05
ILMN_2367165,8.046925651529264e-05
ILMN_1753370,0.0001266143771385
ILMN_1738921,0.000147646067457
ILMN_1660199,6.457640586293678e-05
ILMN_2331636,9.374472464755437e-05
ILMN_1772123,0.0001464851257003
ILMN_1667641,0.0001476160574962
ILMN_1763852,3.521893511170053e-05
ILMN_1687303,6.890819392186821e-05
ILMN_1761058,8.890899329275765e-05
ILMN_2225595,0.0001418329036691
ILMN_1724699,8.680003332244425e-05
ILMN_1775579,0.0001015335142635
ILMN_1660890,0.0001080450313713
ILMN_1778104,0.0001191528466445
ILMN_2053679,0.0001114162349308
ILMN_1795104,0.0008162239590869
ILMN_1740920,0.0001106113224428
ILMN_2263466,0.0001282625023172
ILMN_1806408,9.194741405085924e-05
ILMN_2352009,0.0001830214931357
ILMN_1693148,7.470237353185136e-05
ILMN_1808395,6.288732417739479e-05
ILMN_3236270,0.0001071491739013
ILMN_1743847,6.534674964998871e-05
ILMN_1800008,8.853391570565586e-05
ILMN_2133799,6.974513876849682e-05
ILMN_1708672,6.601312362953222e-05
ILMN_1665945,9.226785759753616e-05
ILMN_1676288,6.836376974167346e-05
ILMN_1693250,0.0001033374793768
ILMN_2295980,0.0001437884533418
ILMN_2410362,0.0001150377501633
ILMN_1684271,8.256894533733742e-05
ILMN_1726388,0.0001124291778415
ILMN_2106002,0.000140213966017
ILMN_1779685,6.952721465807509e-05
ILMN_1665932,8.802935456832212e-05
ILMN_1769694,9.42337475315358e-05
ILMN_1727251,6.902768584570835e-05
ILMN_1734479,8.067873034768927e-05
ILMN_2368728,5.083064868727317e-05
ILMN_2394897,0.0001174703707154
ILMN_2394902,0.0001136221297395
ILMN_2287535,0.0001044774596299
ILMN_1750295,0.0001409636546579
ILMN_3187680,8.272478832331139e-05
ILMN_3242266,0.0001993662598057
ILMN_1780630,0.0001083932945794
ILMN_1716480,7.741528885272539e-05
ILMN_1715192,0.0001415757223721
ILMN_2339410,0.0001310280704785
ILMN_1779984,0.0001393747080802
ILMN_1667018,9.43190223027318e-05
ILMN_1773243,0.0001043956229492
ILMN_3241214,9.294895737916602e-05
ILMN_3235340,0.0001144491445599
ILMN_1761000,0.0001898711299706
ILMN_3237774,0.0001418192888484
ILMN_2333219,9.403750781805765e-05
ILMN_1780485,9.503422677143882e-05
ILMN_1735471,0.0001051230371376
ILMN_1699636,9.923264055545372e-05
ILMN_2371379,7.739472419853762e-05
ILMN_1749014,6.757350630509656e-05
ILMN_1727091,0.0001232356640411
ILMN_1771348,9.4474238008071e-05
ILMN_2134039,0.0001838522441406
ILMN_1750800,0.0001242117188216
ILMN_1654861,0.0001261213446131
ILMN_2121389,6.016839577347442e-05
ILMN_1715543,9.581684789269648e-05
ILMN_1739594,7.233213884940364e-05
ILMN_2353978,0.0001160146960007
ILMN_1785474,8.088540247446674e-05
ILMN_2188959,0.0001078186418706
ILMN_1716237,0.0001647356147016
ILMN_1764321,0.0001200715282033
ILMN_2156699,9.072700675389647e-05
ILMN_1784756,4.225296479124568e-05
ILMN_1728883,0.0001022219369978
ILMN_1740265,0.0001519273924287
ILMN_1788078,4.19024293606753e-05
ILMN_2252621,8.697520006356646e-05
ILMN_2332250,0.0001309261296738
ILMN_1719178,3.819361259302651e-05
ILMN_1679600,0.0005376106880132
ILMN_2367070,0.0001260191298307
ILMN_1658995,0.0001843602866735
ILMN_1750158,0.0001052267308984
ILMN_1668839,5.6168562632867625e-05
ILMN_1765767,0.0001080944738663
ILMN_1685703,9.640560418896407e-05
ILMN_1743396,8.596308954556601e-05
ILMN_1743680,0.0001082175363066
ILMN_1669633,0.0001004706417191
ILMN_2344956,0.0001031800395575
ILMN_2104830,0.0001141527792103
ILMN_2078599,0.0001305295241522
ILMN_2234343,0.0001116240934526
ILMN_1706598,5.3510189671784254e-05
ILMN_2306955,5.49387461389594e-05
ILMN_1758323,0.0001325382102186
ILMN_1728331,0.0001180497640052
ILMN_2351906,0.0001347071497447
ILMN_1705637,0.0001507330569748
ILMN_1784203,6.277248549860698e-05
ILMN_1666690,9.029226158244712e-05
ILMN_1654468,9.239907000461168e-05
ILMN_2320277,9.849573822205588e-05
ILMN_2227011,0.0001052567066735
ILMN_1730002,6.11014915580826e-05
ILMN_3236756,9.800504153568686e-05
ILMN_1716832,5.127483483757576e-05
ILMN_1684585,0.0001834237942722
ILMN_2360705,0.0001561294364542
