feature,value
48817_at,0.001427330823141
48818_s_at,0.0005187258893968
48819_at,0.001442780226103
48820_at,0.0011793380673074
48821_at,0.0014205791366919
48823_at,0.0008336140259813
48825_at,0.0010483772515493
48827_at,0.0008879665840702
48828_at,0.0008552826888531
48830_r_at,0.0056882977456499
48832_at,0.0003441448326251
48833_at,0.0010382422395228
48835_s_at,0.0013135424449165
48837_at,0.0009369226035669
48840_s_at,0.0010637056268065
48841_at,0.0009116347245689
48846_s_at,0.0009545117238167
48849_i_at,0.0058364857925851
48850_r_at,0.0007824544075826
48852_at,0.0008190073847055
48853_at,0.0006300808674082
48857_at,0.0014627109307988
48858_at,0.001174275709004
48860_at,0.0014091932413013
48861_at,0.002406455540269
48866_at,0.0005894503241132
48867_at,0.0006279158111666
48869_g_at,0.0054572382250453
48872_at,0.0012512630775821
48873_at,0.0010892390635434
48875_at,0.0004174289946353
48881_at,0.009736126023309
48883_at,0.0149316702741563
48884_at,0.0015290816512022
48894_s_at,0.0016824499164825
48895_at,0.001002123760664
48897_at,0.0009714424458278
48898_at,0.0008116595813667
48899_at,0.0011041714155666
48900_at,0.000914260612131
48901_at,0.0013418195662308
48902_at,0.0011044395110681
48904_at,0.0023369829372823
48906_at,0.002221381117435
48908_r_at,0.0010636865717334
48909_at,0.000613276432346
48911_at,0.000878137516519
48913_at,0.0050018407011591
48916_at,0.0008621664197801
48917_at,0.0007215827101325
48920_at,0.0008230232568533
48923_at,0.0010243919054595
48924_r_at,0.0026494742702907
48926_at,0.0009445534404797
48928_at,0.0011310847882089
48929_at,0.0005946309174046
48931_at,0.0011523456257413
48933_at,0.0009638934341984
48944_r_at,0.0013614409471034
48946_at,0.0010927271339679
48948_i_at,0.0008461283687468
48951_f_at,0.0010024310535976
48953_at,0.0009359010714821
48955_at,0.0017557955234946
48956_at,0.0008349877734652
48959_at,0.0014038131487239
48961_at,0.0008828497974205
48963_at,0.0024785215126734
48965_at,0.001484482091016
48967_at,0.0008809966025407
48971_at,0.0153554010201083
48977_s_at,0.0022875461415706
48980_at,0.0009238153046044
48983_at,0.0008640773815199
48984_at,0.0009583593372032
48986_r_at,0.0010475858884873
48988_at,0.0010095617047321
48990_at,0.0008393295156953
48991_at,0.0007245318159222
48993_at,0.0128507370999588
48994_at,0.0021017756514827
48996_at,0.0012994578032574
48998_at,0.0091417637490908
49000_at,0.0006677434777534
49001_at,0.0010447897239641
49003_at,0.0007004000808356
49005_at,0.0136003438412509
49006_s_at,0.0007846842530011
49007_at,0.0013843796538186
49009_at,0.0005960936485125
49011_at,0.0012920147384084
49013_at,0.0010729199866656
